순위,지역,정류장명,승차,하차,총 이용인원
1,울산광역시,공업탑(3101347),3273,3172,6445
2,울산광역시,공업탑(3101418),4490,1415,5905
3,울산광역시,시외고속버스터미널(3101421),4704,1135,5840
4,울산광역시,울산대학교(3101461),4585,299,4884
5,울산광역시,성남동(3101525),3115,804,3919
6,울산광역시,시외고속버스터미널(3101450),2464,1442,3906
7,울산광역시,신복로터리(3101460),2948,509,3457
8,울산광역시,공업탑(3101504),2174,1263,3436
9,울산광역시,울산과학대학(3101462),3106,315,3421
10,울산광역시,신복로터리(3101409),1469,1846,3314
