구분,계,중구,남구,동구,북구,울주군
읍(개),5,0,0,0,0,5
면(개),7,0,0,0,0,7
동(개),44,13,14,9,8,0
면적(㎢),1062.04 ,37.01,73.47,36.07,157.36,758.13
세대수,472255,92995,136747,65420,82250,94843
총인구수,1162573,222600,327987,161539,220837,229610
내국인수,1143148,220604,323192,158154,218396,222802
남(명),587434,111885,164865,82706,113001,114977
여(명),555714,108719,158327,75448,105395,107825
외국인수,19425,1996,4795,3385,2441,6808
